studyid,experimentid,GVA,GVV,GVA_n,GVV_n,GVA_SR_m,GVA_SR_sd,GVV_SR_m,GVV_SR_sd,GVA_ST_m,GVA_ST_sd,GVV_ST_m,GVV_ST_sd,GVA_LR_m,GVA_LR_sd,GVV_LR_m,GVV_LR_sd,GVA_LT_m,GVA_LT_sd,GVV_LT_m,GVV_LT_sd,GVA_CL_m,GVA_CL_sd,GVV_CL_m,GVV_CL_sd,GVA_TL_m,GVA_TL_sd,GVV_TL_m,GVV_TL_sd,GVA_OT_m,GVA_OT_sd,GVV_OT_m,GVV_OT_sd
2,1,6,1,72,79,104.44,30.16827183,58.94,16.26766194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.26,1.94,6.46,1.82,595.35,180.24,529.64,168.05,NULL,NULL,NULL,NULL
5,4,7,8,16,20,NULL,NULL,NULL,NULL,5.55,3.56,5.5,3.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.43,1.5,4.05,1.39,NULL,NULL,NULL,NULL,0.41,1.31,0.21,1.16
5,5,9,10,14,21,NULL,NULL,NULL,NULL,2.57,2.82,5.05,2.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.57,1.74,3.85,2.03,NULL,NULL,NULL,NULL,-1.02,1.15,0.17,1.25
5,6,11,12,28,25,NULL,NULL,NULL,NULL,7.53,2.38,5.52,2.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.1,1.37,2.68,1.67,NULL,NULL,NULL,NULL,0.72,1.1,0.01,1.34
5,7,13,14,25,22,NULL,NULL,NULL,NULL,4.08,2.82,5.18,2.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.12,1.78,3.4,2.08,NULL,NULL,NULL,NULL,-0.51,1.33,-0.36,1.46
6,8,15,16,25,23,149.26,3.67,122.53,3.396976597,36,5.54,45.05,5.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,9,17,18,35,35,4.95,2.4,5.6,3.18,2.18,1.06,1.85,1.12,8.19,2.03002463,7.76,2.357339602,3.65,1.111125555,4.18,1.031212878,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,10,19,20,26,25,5.25,0.18,5.15,0.19,2.86,0.18,2.99,0.18,4.31,0.18,4.23,0.19,2.33,0.16,2.65,0.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,11,21,22,15,16,5.02,0.24,5.27,0.23,NULL,NULL,NULL,NULL,4.07,0.24,4.39,0.23,1.73,0.21,2.47,0.2,2.13,0.24,2.78,0.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,12,23,24,15,13,4.75,0.24,4.89,0.26,2.22,0.24,2.89,0.25,3.92,0.24,4.01,0.26,2.02,0.21,2.33,0.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,14,27,26,27,30,28.1,5.2,32.2,4.8,17.9,5.6,21.6,6.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.7,0.8,4.1,1.1,56.6,7,47.8,7.5,NULL,NULL,NULL,NULL
10,15,29,28,28,26,30.6,4.6,33.5,5.7,20,6.1,22.2,6.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.9,1.1,4.2,0.8,58,7,48.1,7.1,NULL,NULL,NULL,NULL
11,16,30,31,17,17,6.53,1.77,5.65,1.87,35.12,8.74,27,8.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,17,32,33,13,13,7.23,1.69,5.77,1.74,3.46,9.82,27.92,7.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,18,34,35,13,14,6.85,0.8,4.86,2.38,40.08,4.37,21.64,8.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,19,36,37,14,14,7.57,1.09,6.07,1.77,30.29,6.01,25.29,7.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,20,38,39,10,11,6.8,2.04,5.64,1.12,34.6,5.72,24.27,3.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,22,40,41,19,16,31.05,2.479388231,31.65,2.554009789,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,23,42,43,19,18,24,4.188241397,24.32,2.565885032,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,24,44,45,19,16,21.92,2.94825372,24.35,3.717046274,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
